Address,ur,income
10001000108,U,392000000.0
10001000111,U,600000000.0
10001000113,U,888000000.0
10001000114,U,144000000.0
10001000116,U,654000000.0
10001000117,U,444000000.0
10001000120,U,1309000000.0
10001000123,U,1691000000.0
10001000126,U,5691500000.0
10001000129,U,999000000.0
10001000130,U,1645100000.0
10001000132,U,2657100000.0
10001000135,U,815100000.0
10001000138,U,2698700000.0
10001000141,U,18696000000.0
10001000209,U,342500000.0
10001000211,U,985000000.0
10001000214,U,1082000000.0
10001000216,U,137400000.0
10001000217,U,220000000.0
10001000219,U,401200000.0
10001000220,U,981000000.0
10001000223,U,234000000.0
10001000226,U,2240000000.0
10001000229,U,348800000.0
10001000230,U,3089000000.0
10001000232,U,1980000000.0
10001000235,U,4709200000.0
10001000238,U,4520000000.0
10001000241,U,2080000000.0
10001000308,U,249000000.0
10001000309,U,360000000.0
10001000314,U,1058800000.0
10001000317,U,1251200000.0
10001000319,U,554800000.0
10001000320,U,490000000.0
10001000321,U,459800000.0
10001000323,U,285000000.0
10001000326,U,3499200000.0
10001000329,U,3680200000.0
10001000332,U,3962800000.0
10001000336,U,2476000000.0
10001000338,U,1355900000.0
10001000341,U,2400000000.0
10001000407,U,160500000.0
10001000408,U,360000000.0
10001000414,U,1056400000.0
10001000417,U,1080400000.0
10001000420,U,689200000.0
10001000423,U,814400000.0
10001000425,U,2174000000.0
10001000426,U,2593200000.0
10001000429,U,356400000.0
10001000432,U,3470000000.0
10001000435,U,3360000000.0
10001000438,U,2060000000.0
10001000441,U,4150000000.0
10001000508,U,230000000.0
10001000511,U,300000000.0
10001000514,U,929800000.0
10001000517,U,667900000.0
10001000520,U,1579900000.0
10001000523,U,239500000.0
10001000526,U,3219900000.0
10001000529,U,660800000.0
10001000530,U,4732000000.0
10001000531,U,2520000000.0
10001000533,U,1836000000.0
10001000538,U,2933600000.0
10001000541,U,2780000000.0
10001000609,U,346000000.0
10001000612,U,291000000.0
10001000613,U,1226500000.0
10001000614,U,506500000.0
10001000615,U,334000000.0
10001000619,U,414500000.0
10001000620,U,1390500000.0
10001000623,U,322000000.0
10001000625,U,4038800000.0
10001000626,U,350500000.0
10001000627,U,3343260000.0
10001000629,U,613000000.0
10001000632,U,2111360000.0
10001000635,U,3320760000.0
10001000638,U,4140000000.0
10001000641,U,2976000000.0
10001000707,U,466000000.0
10001000711,U,600000000.0
10001000715,U,452000000.0
10001000716,U,305400000.0
10001000717,U,580500000.0
10001000720,U,748500000.0
10001000723,U,618500000.0
10001000726,U,2409400000.0
10001000729,U,5482020000.0
10001000731,U,1269200000.0
10001000732,U,654000000.0
10001000738,U,2728000000.0
10001000741,U,2999680000.0
10001000910,U,318000000.0
10001000911,U,204000000.0
10001000915,U,618100000.0
10001000916,U,623300000.0
10001000920,U,784900000.0
10001000923,U,841000000.0
10001000926,U,4241940000.0
10001000929,U,258100000.0
10001000930,U,1844600000.0
10001000932,U,1664640000.0
10001000935,U,3044640000.0
10001000938,U,2844560000.0
10001000941,U,1794640000.0
10001001010,U,420000000.0
10001001013,U,2108000000.0
10001001015,U,1276800000.0
10001001020,U,1326800000.0
10001001023,U,1261400000.0
10001001026,U,1606600000.0
10001001027,U,1920000000.0
10001001029,U,6310800000.0
10001001033,U,7200000000.0
10001001036,U,988000000.0
10001001038,U,5140000000.0
10001001041,U,4285200000.0
10001001108,U,544000000.0
10001001109,U,336000000.0
10001001113,U,890000000.0
10001001114,U,1127000000.0
10001001116,U,442000000.0
10001001119,U,398500000.0
10001001120,U,804250000.0
10001001123,U,351000000.0
10001001125,U,2982000000.0
10001001126,U,778500000.0
10001001128,U,1476000000.0
10001001129,U,686500000.0
10001001132,U,2402400000.0
10001001135,U,6886400000.0
10001001138,U,6000000000.0
10001001141,U,5358000000.0
10001001207,U,300000000.0
10001001212,U,481000000.0
10001001216,U,488500000.0
10001001217,U,478500000.0
10001001218,U,109150000.0
10001001220,U,773300000.0
10001001223,U,1216300000.0
10001001226,U,4443900000.0
10001001227,U,1012000000.0
10001001229,U,426900000.0
10001001234,U,2010000000.0
10001001236,U,176000000.0
10001001238,U,2319320000.0
10001001241,U,2290000000.0
10001001308,U,420000000.0
10001001311,U,240000000.0
10001001313,U,625300000.0
10001001314,U,600000000.0
10001001315,U,1072100000.0
10001001320,U,900700000.0
10001001323,U,825300000.0
10001001326,U,381700000.0
10001001328,U,1998800000.0
10001001329,U,529800000.0
10001001330,U,2085800000.0
10001001332,U,2481760000.0
10001001333,U,17136240000.0
10001001338,U,3277040000.0
10001001341,U,731200000.0
10001001409,U,264000000.0
10001001411,U,320000000.0
10001001414,U,1645000000.0
10001001415,U,500000000.0
10001001418,U,832000000.0
10001001420,U,600000000.0
10001001423,U,1578000000.0
10001001424,U,882000000.0
